"(!) Don't forget to use the reference in your payment. Without the reference the processing of your payment can take more time!","(!) Nezapomeňte použít referenci ve své platbě. Bez reference může zpracování vaší platby trvat déle!"
"Account holder: %1","Majitel účtu: %1"
"Account number: %1","Číslo účtu: %1"
"Amount: %1","Částka: %1"
"Amounts don't match. Possible fraud","Částky se neshodují. Možný podvod"
"API Details","Detaily API"
"API Key","NoPayn API klíč"
"BIC: %1","BIC: %1"
"Branding","Branding"
"Bundle CA.cert file","Svazek souboru cURL ca.cert"
"Choose your bank:","Vyberte svou banku:"
"City: %1","Město: %1"
"Credit Card","Kreditní karta"
"Debug requests","Požadavky na ladění"
"Debug","Ladění"
"Description","Popis"
"Enabled","Povoleno"
"Especially for Developers you can enable the Debug mode.","Zejména pro vývojáře můžete povolit režim ladění."
"You can limit the availability to specific IP adressess, for instance for testing purposes (example: 128.0.0.1, 255.255.255.255). If you leave this empty the payment method will be available to all IP addresses.","Můžete omezit dostupnost na konkrétní IP adresy, například pro účely testování (příklad: 128.0.0.1, 255.255.255.255). Pokud toto pole ponecháte prázdné, platební metoda bude dostupná pro všechny IP adresy."
"Fill in your API Key below.","Zkopírujte API klíč vašeho e-shopu z vašeho obchodnického portálu."
"General","Obecné"
"Generate invoice upon succesfull transaction","Generovat fakturu při úspěšné transakci"
"Generate invoice upon successful transaction","Generovat fakturu při úspěšné transakci"
"Generate Invoice","Generovat fakturu"
"IBAN: %1","IBAN: %1"
"Include Webhook URL with every order creation","Automaticky poskytnout URL webhooku s každou vygenerovanou objednávkou do API NoPayn PSP."
"NoPayn Order ID: %1","NoPayn ID objednávky: %1"
"NoPayn processes the payments for","NoPayn zpracovává platby pro"
"NoPayn PSP - Mastercard, VISA, Maestro of V PAY","NoPayn PSP - Mastercard, VISA, Maestro nebo V PAY"
"NoPayn PSP - Settings","NoPayn PSP - Nastavení"
"NoPayn PSP","NoPayn PSP"
"Invalid return from NoPayn.","Neplatný návrat z NoPayn."
"Invalid return, missing order id.","Neplatný návrat, chybějící ID objednávky."
"IP Filtering","IP adresa(y) pro testování."
"Limit & Sorting","Nastavení rizika a řazení"
"Live","Živě"
"Minimum Order Total","Minimální celková hodnota objednávky"
"New order email sent","E-mail s novou objednávkou odeslán"
"No order found for transaction id %1","Nebyla nalezena žádná objednávka pro ID transakce %1"
"Notified customer about invoice #%1","Zákazník byl informován o faktuře #%1"
"Order not found","Objednávka nenalezena"
"OrderId not set","ID objednávky není nastaveno"
"Payment Description","Popis platby"
"Payment failed with an error","Platba selhala s chybou"
"Payment from Applicable Countries","Povolit platbu z platných zemí"
"Payment from Specific Countries","Povolit platbu z konkrétních zemí"
"Payment instructions:","Platební instrukce:"
"Payment is cancelled","Platba je zrušena"
"Payment is completed","Platba je dokončena"
"Payment is pending","Platba čeká na zpracování"
"Place Order","Vytvořit objednávku"
"Please use the following payment information:","Použijte prosím následující platební informace:"
"Product","Produkt"
"Reference: %1","Reference: %1"
"Resolves issue when curl.cacert path is not set in PHP.ini","Řeší problém, když cesta curl.cacert není nastavena v PHP.ini"
"Send Invoice Email","Odeslat e-mail s fakturou"
"Send order mail","Odeslat e-mail s potvrzením objednávky zákazníkovi"
"Set the notification for to Notify the customer with the Invoice","Odeslat e-mail s fakturou vašemu zákazníkovi"
"Set the order status before the customer is redirected to Payment Gateway","Nastavit stav objednávky před přesměrováním zákazníka na platební bránu"
"Set the order status for Completed Payments","Nastavit stav objednávky pro dokončené platby"
"Settings","Nastavení"
"Something went wrong.","Něco se pokazilo."
"Sort Order","Pořadí řazení"
"Status Pending","Stav Čekající"
"Status Processing","Stav Zpracování"
"Test API Key","Testovací API klíč"
"Test","Test"
"Thank you for your purchase!","Vaše objednávka byla úspěšně zadána. Děkujeme za vaši objednávku!"
"The order was canceled","Objednávka byla zrušena"
"There was an error checking the transaction status.","Při kontrole stavu transakce došlo k chybě."
"There was a problem processing your payment because it expired. Please try again.","Při zpracování vaší platby došlo k problému, protože vypršela její platnost. Zkuste to prosím znovu."
"There was a problem processing your payment because it failed. Please try again.","Při zpracování vaší platby došlo k problému, protože selhala. Zkuste to prosím znovu."
"There was a problem processing your payment because it has been cancelled. Please try again.","Při zpracování vaší platby došlo k problému, protože byla zrušena. Zkuste to prosím znovu."
"Title","Název"
"Transaction Error","Chyba transakce"
"Transaction not found","Transakce nenalezena"
"Use %id% for order increment id","Použijte %id% pro přírůstkové ID objednávky"
"Version","Verze"
"Webhook URL","Webhook URL"
"When activated the debug file will be located in: var/log/gingerpay/debug.log","Když jsou aktivována nastavení ladění, soubor ladění bude umístěn v: var/log/nopayn"
"Your order has been received. Thank you for your purchase! We will dispatch your order as soon as possible. For any questions, please contact our customer support.","Vaše objednávka byla přijata. Děkujeme za váš nákup! Vaši objednávku odešleme co nejdříve. V případě jakýchkoli dotazů se obraťte na naši zákaznickou podporu."
"Your order has been received.","Vaše objednávka byla přijata."
"Your order %id% at %name%","Vaše objednávka %id% u %name%"
"API Key is not valid: NoPayn Online payment methods deactivated","API klíč není platný: platební metody NoPayn jsou deaktivovány"
"Refund is not completed.","Vrácení peněz není dokončeno."
"Male","Muž"
"Female","Žena"
"Please select your gender","Vyberte prosím své pohlaví"
"Enter your date of birth","Zadejte své datum narození"
"our shop","náš obchod"
"Some payments will be missing. To use them, set %1 in Stores -> Configuration -> General -> Currency setup", "Některé platby budou chybět. Chcete-li je použít, nastavte %1 v Obchody -> Konfigurace -> Obecné -> Nastavení měny"
"Show Payment Logo's", "Zobrazit loga platebních metod"
"Maximum Order Total", "Maximální celková hodnota objednávky"
"Set the order status for Authorized Payments", "Nastavit stav objednávky pro autorizované platby"
"Status Authorized", "Stav Autorizováno"
"Manual Capture", "Ruční zachycení"
"Enable to authorize payment first, then capture after invoice is sent", "Povolit nejprve autorizaci platby, poté zachycení po odeslání faktury"
"NoPayn helps entrepreneurs with the best, smartest and most efficient payment systems.","NoPayn pomáhá podnikatelům s nejlepšími, nejchytřejšími a nejefektivnějšími platebními systémy."
