"(!) Don't forget to use the reference in your payment. Without the reference the processing of your payment can take more time!","(!) Nepamirškite naudoti nuorodos savo mokėjime. Be nuorodos jūsų mokėjimo apdorojimas gali užtrukti ilgiau!"
"Account holder: %1","Sąskaitos turėtojas: %1"
"Account number: %1","Sąskaitos numeris: %1"
"Amount: %1","Suma: %1"
"Amounts don't match. Possible fraud","Sumos nesutampa. Galimas sukčiavimas"
"API Details","API informacija"
"API Key","NoPayn API raktas"
"BIC: %1","BIC: %1"
"Branding","Prekės ženklo kūrimas"
"Bundle CA.cert file","Pakuoti cURL ca.cert failą"
"Choose your bank:","Pasirinkite savo banką:"
"City: %1","Miestas: %1"
"Credit Card","Kredito kortelė"
"Debug requests","Derinimo užklausos"
"Debug","Derinimas"
"Description","Aprašymas"
"Enabled","Įjungta"
"Especially for Developers you can enable the Debug mode.","Ypač kūrėjams galite įjungti derinimo režimą."
"You can limit the availability to specific IP adressess, for instance for testing purposes (example: 128.0.0.1, 255.255.255.255). If you leave this empty the payment method will be available to all IP addresses.","Galite apriboti prieinamumą konkretiems IP adresams, pavyzdžiui, testavimo tikslais (pavyzdys: 128.0.0.1, 255.255.255.255). Jei paliksite šį lauką tuščią, mokėjimo būdas bus prieinamas visiems IP adresams."
"Fill in your API Key below.","Nukopijuokite savo internetinės parduotuvės API raktą iš savo prekybininko portalo."
"General","Bendras"
"Generate invoice upon succesfull transaction","Generuoti sąskaitą faktūrą po sėkmingo sandorio"
"Generate invoice upon successful transaction","Generuoti sąskaitą faktūrą po sėkmingo sandorio"
"Generate Invoice","Generuoti sąskaitą faktūrą"
"IBAN: %1","IBAN: %1"
"Include Webhook URL with every order creation","Automatiškai pateikti webhook URL su kiekvienu sugeneruotu užsakymu į NoPayn PSP API."
"NoPayn Order ID: %1","NoPayn užsakymo ID: %1"
"NoPayn processes the payments for","NoPayn apdoroja mokėjimus"
"NoPayn PSP - Mastercard, VISA, Maestro of V PAY","NoPayn PSP - Mastercard, VISA, Maestro arba V PAY"
"NoPayn PSP - Settings","NoPayn PSP - Nustatymai"
"NoPayn PSP","NoPayn PSP"
"Invalid return from NoPayn.","Neteisingas grąžinimas iš NoPayn."
"Invalid return, missing order id.","Neteisingas grąžinimas, trūksta užsakymo ID."
"IP Filtering","IP adresas(-ai) testavimui."
"Limit & Sorting","Rizikos nustatymai ir rūšiavimas"
"Live","Tiesiogiai"
"Minimum Order Total","Minimali užsakymo suma"
"New order email sent","Išsiųstas naujo užsakymo el. laiškas"
"No order found for transaction id %1","Nerasta užsakymo su operacijos ID %1"
"Notified customer about invoice #%1","Klientas informuotas apie sąskaitą faktūrą #%1"
"Order not found","Užsakymas nerastas"
"OrderId not set","Užsakymo ID nenustatytas"
"Payment Description","Mokėjimo aprašymas"
"Payment failed with an error","Mokėjimas nepavyko su klaida"
"Payment from Applicable Countries","Leisti mokėjimą iš taikomų šalių"
"Payment from Specific Countries","Leisti mokėjimą iš konkrečių šalių"
"Payment instructions:","Mokėjimo instrukcijos:"
"Payment is cancelled","Mokėjimas atšauktas"
"Payment is completed","Mokėjimas baigtas"
"Payment is pending","Mokėjimas laukiamas"
"Place Order","Pateikti užsakymą"
"Please use the following payment information:","Prašome naudoti šią mokėjimo informaciją:"
"Product","Produktas"
"Reference: %1","Nuoroda: %1"
"Resolves issue when curl.cacert path is not set in PHP.ini","Išsprendžia problemą, kai curl.cacert kelias nenustatytas PHP.ini"
"Send Invoice Email","Siųsti sąskaitos faktūros el. laišką"
"Send order mail","Siųsti užsakymo patvirtinimo el. laišką pirkėjui"
"Set the notification for to Notify the customer with the Invoice","Siųsti sąskaitos faktūros el. laišką jūsų klientui"
"Set the order status before the customer is redirected to Payment Gateway","Nustatyti užsakymo būseną prieš klientui pereinant į mokėjimo sąsają"
"Set the order status for Completed Payments","Nustatyti užsakymo būseną baigtiems mokėjimams"
"Settings","Nustatymai"
"Something went wrong.","Kažkas nepavyko."
"Sort Order","Rūšiavimo tvarka"
"Status Pending","Būsena Laukiama"
"Status Processing","Būsena Apdorojama"
"Test API Key","Testo API raktas"
"Test","Testas"
"Thank you for your purchase!","Jūsų užsakymas sėkmingai pateiktas. Dėkojame už jūsų užsakymą!"
"The order was canceled","Užsakymas buvo atšauktas"
"There was an error checking the transaction status.","Įvyko klaida tikrinant operacijos būseną."
"There was a problem processing your payment because it expired. Please try again.","Kilo problema apdorojant jūsų mokėjimą, nes jis baigėsi. Prašome bandyti dar kartą."
"There was a problem processing your payment because it failed. Please try again.","Kilo problema apdorojant jūsų mokėjimą, nes jis nepavyko. Prašome bandyti dar kartą."
"There was a problem processing your payment because it has been cancelled. Please try again.","Kilo problema apdorojant jūsų mokėjimą, nes jis buvo atšauktas. Prašome bandyti dar kartą."
"Title","Pavadinimas"
"Transaction Error","Operacijos klaida"
"Transaction not found","Operacija nerasta"
"Use %id% for order increment id","Naudokite %id% užsakymo didėjimo ID"
"Version","Versija"
"Webhook URL","Webhook URL"
"When activated the debug file will be located in: var/log/gingerpay/debug.log","Kai derinimo nustatymai aktyvuoti, derinimo failas bus: var/log/nopayn"
"Your order has been received. Thank you for your purchase! We will dispatch your order as soon as possible. For any questions, please contact our customer support.","Jūsų užsakymas gautas. Dėkojame už jūsų pirkinį! Išsiųsime jūsų užsakymą kuo greičiau. Jei turite klausimų, susisiekite su mūsų klientų aptarnavimu."
"Your order has been received.","Jūsų užsakymas gautas."
"Your order %id% at %name%","Jūsų užsakymas %id% parduotuvėje %name%"
"API Key is not valid: NoPayn Online payment methods deactivated","API raktas negalioja: NoPayn mokėjimo metodai išjungti"
"Refund is not completed.","Grąžinimas nebaigtas."
"Male","Vyras"
"Female","Moteris"
"Please select your gender","Pasirinkite savo lytį"
"Enter your date of birth","Įveskite savo gimimo datą"
"our shop","mūsų parduotuvė"
"Some payments will be missing. To use them, set %1 in Stores -> Configuration -> General -> Currency setup", "Kai kurie mokėjimai bus nepasiekiami. Norėdami juos naudoti, nustatykite %1 Parduotuvės -> Konfigūracija -> Bendras -> Valiutos nustatymas"
"Show Payment Logo's", "Rodyti mokėjimo logotipus"
"Maximum Order Total", "Maksimali užsakymo suma"
"Set the order status for Authorized Payments", "Nustatyti užsakymo būseną autorizuotiems mokėjimams"
"Status Authorized", "Būsena Autorizuota"
"Manual Capture", "Rankinis fiksavimas"
"Enable to authorize payment first, then capture after invoice is sent", "Įgalinti pirmiausia autorizuoti mokėjimą, tada fiksuoti po sąskaitos faktūros išsiuntimo"
"NoPayn helps entrepreneurs with the best, smartest and most efficient payment systems.","NoPayn padeda verslininkams su geriausiais, išmaniausiais ir efektyviausiais mokėjimo sistemomis."
