"(!) Don't forget to use the reference in your payment. Without the reference the processing of your payment can take more time!","(!) Ikke glem å bruke referansen i betalingen din. Uten referansen kan behandlingen av betalingen din ta lengre tid!"
"Account holder: %1","Kontoinnehaver: %1"
"Account number: %1","Kontonummer: %1"
"Amount: %1","Beløp: %1"
"Amounts don't match. Possible fraud","Beløpene stemmer ikke overens. Mulig svindel"
"API Details","API-detaljer"
"API Key","NoPayn API-nøkkel"
"BIC: %1","BIC: %1"
"Branding","Merkevarebygging"
"Bundle CA.cert file","Pakke cURL ca.cert-fil"
"Choose your bank:","Velg din bank:"
"City: %1","By: %1"
"Credit Card","Kredittkort"
"Debug requests","Feilsøkingsforespørsler"
"Debug","Feilsøking"
"Description","Beskrivelse"
"Enabled","Aktivert"
"Especially for Developers you can enable the Debug mode.","Spesielt for utviklere kan du aktivere feilsøkingsmodus."
"You can limit the availability to specific IP adressess, for instance for testing purposes (example: 128.0.0.1, 255.255.255.255). If you leave this empty the payment method will be available to all IP addresses.","Du kan begrense tilgjengeligheten til spesifikke IP-adresser, for eksempel for testformål (eksempel: 128.0.0.1, 255.255.255.255). Hvis du lar dette være tomt, vil betalingsmetoden være tilgjengelig for alle IP-adresser."
"Fill in your API Key below.","Kopier API-nøkkelen til nettbutikken din fra forhandlerportalen din."
"General","Generelt"
"Generate invoice upon succesfull transaction","Generer en faktura for en vellykket transaksjon"
"Generate invoice upon successful transaction","Generer faktura ved vellykket transaksjon"
"Generate Invoice","Generer faktura"
"IBAN: %1","IBAN: %1"
"Include Webhook URL with every order creation","Oppgi automatisk webhook-URL med hver genererte ordre til NoPayn PSP API."
"NoPayn Order ID: %1","NoPayn Ordre-ID: %1"
"NoPayn processes the payments for","NoPayn behandler betalingene for"
"NoPayn PSP - Mastercard, VISA, Maestro of V PAY","NoPayn PSP - Mastercard, VISA, Maestro eller V PAY"
"NoPayn PSP - Settings","NoPayn PSP - Innstillinger"
"NoPayn PSP","NoPayn PSP"
"Invalid return from NoPayn.","Ugyldig retur fra NoPayn."
"Invalid return, missing order id.","Ugyldig retur, manglende ordre-id."
"IP Filtering","IP-adresse(r) for testing."
"Limit & Sorting","Risikoinnstillinger og sortering"
"Live","Live"
"Minimum Order Total","Minimum ordretotal"
"New order email sent","Ny ordree-post sendt"
"No order found for transaction id %1","Ingen ordre funnet for transaksjons-id %1"
"Notified customer about invoice #%1","Varslet kunde om faktura #%1"
"Order not found","Ordre ikke funnet"
"OrderId not set","Ordre-ID ikke angitt"
"Payment Description","Betalingsbeskrivelse"
"Payment failed with an error","Betaling mislyktes med en feil"
"Payment from Applicable Countries","Tillat betaling fra gjeldende land"
"Payment from Specific Countries","Tillat betaling fra spesifikke land"
"Payment instructions:","Betalingsinstruksjoner:"
"Payment is cancelled","Betalingen er kansellert"
"Payment is completed","Betalingen er fullført"
"Payment is pending","Betalingen venter"
"Place Order","Legg inn bestilling"
"Please use the following payment information:","Vennligst bruk følgende betalingsinformasjon:"
"Product","Produkt"
"Reference: %1","Referanse: %1"
"Resolves issue when curl.cacert path is not set in PHP.ini","Løser problem når curl.cacert-banen ikke er angitt i PHP.ini"
"Send Invoice Email","Send faktura-e-post"
"Send order mail","Send en ordrebekreftelse via e-post til kjøperen"
"Set the notification for to Notify the customer with the Invoice","Send en faktura-e-post til kunden din"
"Set the order status before the customer is redirected to Payment Gateway","Angi ordrestatus før kunden omdirigeres til betalingsgateway"
"Set the order status for Completed Payments","Angi ordrestatus for fullførte betalinger"
"Settings","Innstillinger"
"Something went wrong.","Noe gikk galt."
"Sort Order","Sorteringsrekkefølge"
"Status Pending","Status Venter"
"Status Processing","Status Behandling"
"Test API Key","Test API-nøkkel"
"Test","Test"
"Thank you for your purchase!","Din bestilling er lagt inn. Takk for din bestilling!"
"The order was canceled","Bestillingen ble kansellert"
"There was an error checking the transaction status.","Det oppstod en feil ved kontroll av transaksjonsstatus."
"There was a problem processing your payment because it expired. Please try again.","Det oppstod et problem med å behandle betalingen din fordi den utløp. Vennligst prøv igjen."
"There was a problem processing your payment because it failed. Please try again.","Det oppstod et problem med å behandle betalingen din fordi den mislyktes. Vennligst prøv igjen."
"There was a problem processing your payment because it has been cancelled. Please try again.","Det oppstod et problem med å behandle betalingen din fordi den er kansellert. Vennligst prøv igjen."
"Title","Tittel"
"Transaction Error","Transaksjonsfeil"
"Transaction not found","Transaksjon ikke funnet"
"Use %id% for order increment id","Bruk %id% for ordre-inkrementerings-id"
"Version","Versjon"
"Webhook URL","Webhook URL"
"When activated the debug file will be located in: var/log/gingerpay/debug.log","Når feilsøkingsinnstillingene er aktivert, vil feilsøkingsfilen være plassert i: var/log/nopayn"
"Your order has been received. Thank you for your purchase! We will dispatch your order as soon as possible. For any questions, please contact our customer support.","Din bestilling er mottatt. Takk for ditt kjøp! Vi vil sende bestillingen din så snart som mulig. For eventuelle spørsmål, vennligst kontakt vår kundeservice."
"Your order has been received.","Din bestilling er mottatt."
"Your order %id% at %name%","Din bestilling %id% hos %name%"
"API Key is not valid: NoPayn Online payment methods deactivated","API-nøkkel er ikke gyldig: NoPayn betalingsmetoder deaktivert"
"Refund is not completed.","Refusjon er ikke fullført."
"Male","Mann"
"Female","Kvinne"
"Please select your gender","Vennligst velg ditt kjønn"
"Enter your date of birth","Skriv inn fødselsdatoen din"
"our shop","vår butikk"
"Some payments will be missing. To use them, set %1 in Stores -> Configuration -> General -> Currency setup", "Noen betalinger vil mangle. For å bruke dem, sett %1 i Butikker -> Konfigurasjon -> Generelt -> Valutaoppsett"
"Show Payment Logo's", "Vis betalingslogoer"
"Maximum Order Total", "Maksimal ordretotal"
"Set the order status for Authorized Payments", "Angi ordrestatus for autoriserte betalinger"
"Status Authorized", "Status Autorisert"
"Manual Capture", "Manuell fangst"
"Enable to authorize payment first, then capture after invoice is sent", "Aktiver for å autorisere betaling først, deretter fang etter at faktura er sendt"
"NoPayn helps entrepreneurs with the best, smartest and most efficient payment systems.","NoPayn hjelper gründere med de beste, smarteste og mest effektive betalingssystemene."
