"(!) Don't forget to use the reference in your payment. Without the reference the processing of your payment can take more time!","(!) Nezabudnite použiť referenciu vo vašej platbe. Bez referencie môže spracovanie vašej platby trvať dlhšie!"
"Account holder: %1","Majiteľ účtu: %1"
"Account number: %1","Číslo účtu: %1"
"Amount: %1","Suma: %1"
"Amounts don't match. Possible fraud","Sumy sa nezhodujú. Možný podvod"
"API Details","Detaily API"
"API Key","NoPayn API kľúč"
"BIC: %1","BIC: %1"
"Branding","Značka"
"Bundle CA.cert file","Zväzok súboru cURL ca.cert"
"Choose your bank:","Vyberte svoju banku:"
"City: %1","Mesto: %1"
"Credit Card","Kreditná karta"
"Debug requests","Požiadavky na ladenie"
"Debug","Ladenie"
"Description","Popis"
"Enabled","Povolené"
"Especially for Developers you can enable the Debug mode.","Najmä pre vývojárov môžete povoliť režim ladenia."
"You can limit the availability to specific IP adressess, for instance for testing purposes (example: 128.0.0.1, 255.255.255.255). If you leave this empty the payment method will be available to all IP addresses.","Môžete obmedziť dostupnosť na konkrétne IP adresy, napríklad na účely testovania (príklad: 128.0.0.1, 255.255.255.255). Ak toto pole ponecháte prázdne, platobná metóda bude dostupná pre všetky IP adresy."
"Fill in your API Key below.","Skopírujte API kľúč vášho e-shopu z vášho obchodníckeho portálu."
"General","Všeobecné"
"Generate invoice upon succesfull transaction","Generovať faktúru pri úspešnej transakcii"
"Generate invoice upon successful transaction","Generovať faktúru pri úspešnej transakcii"
"Generate Invoice","Generovať faktúru"
"IBAN: %1","IBAN: %1"
"Include Webhook URL with every order creation","Automaticky poskytnúť URL webhooku s každou vygenerovanou objednávkou do API NoPayn PSP."
"NoPayn Order ID: %1","NoPayn ID objednávky: %1"
"NoPayn processes the payments for","NoPayn spracováva platby pre"
"NoPayn PSP - Mastercard, VISA, Maestro of V PAY","NoPayn PSP - Mastercard, VISA, Maestro alebo V PAY"
"NoPayn PSP - Settings","NoPayn PSP - Nastavenia"
"NoPayn PSP","NoPayn PSP"
"Invalid return from NoPayn.","Neplatný návrat z NoPayn."
"Invalid return, missing order id.","Neplatný návrat, chýbajúce ID objednávky."
"IP Filtering","IP adresa(y) na testovanie."
"Limit & Sorting","Nastavenia rizika a zoradenie"
"Live","Naživo"
"Minimum Order Total","Minimálna celková hodnota objednávky"
"New order email sent","E-mail s novou objednávkou odoslaný"
"No order found for transaction id %1","Nebola nájdená žiadna objednávka pre ID transakcie %1"
"Notified customer about invoice #%1","Zákazník bol informovaný o faktúre #%1"
"Order not found","Objednávka nenájdená"
"OrderId not set","ID objednávky nie je nastavené"
"Payment Description","Popis platby"
"Payment failed with an error","Platba zlyhala s chybou"
"Payment from Applicable Countries","Povoliť platbu z platných krajín"
"Payment from Specific Countries","Povoliť platbu z konkrétnych krajín"
"Payment instructions:","Platobné inštrukcie:"
"Payment is cancelled","Platba je zrušená"
"Payment is completed","Platba je dokončená"
"Payment is pending","Platba čaká na spracovanie"
"Place Order","Vytvoriť objednávku"
"Please use the following payment information:","Použite prosím nasledujúce platobné informácie:"
"Product","Produkt"
"Reference: %1","Referencia: %1"
"Resolves issue when curl.cacert path is not set in PHP.ini","Rieši problém, keď cesta curl.cacert nie je nastavená v PHP.ini"
"Send Invoice Email","Odoslať e-mail s faktúrou"
"Send order mail","Odoslať e-mail s potvrdením objednávky zákazníkovi"
"Set the notification for to Notify the customer with the Invoice","Odoslať e-mail s faktúrou vášmu zákazníkovi"
"Set the order status before the customer is redirected to Payment Gateway","Nastaviť stav objednávky pred presmerovaním zákazníka na platobnú bránu"
"Set the order status for Completed Payments","Nastaviť stav objednávky pre dokončené platby"
"Settings","Nastavenia"
"Something went wrong.","Niečo sa pokazilo."
"Sort Order","Poradie zoradenia"
"Status Pending","Stav Čakajúci"
"Status Processing","Stav Spracovanie"
"Test API Key","Testovací API kľúč"
"Test","Test"
"Thank you for your purchase!","Vaša objednávka bola úspešne zadaná. Ďakujeme za vašu objednávku!"
"The order was canceled","Objednávka bola zrušená"
"There was an error checking the transaction status.","Pri kontrole stavu transakcie došlo k chybe."
"There was a problem processing your payment because it expired. Please try again.","Pri spracovaní vašej platby došlo k problému, pretože vypršala jej platnosť. Skúste to prosím znova."
"There was a problem processing your payment because it failed. Please try again.","Pri spracovaní vašej platby došlo k problému, pretože zlyhala. Skúste to prosím znova."
"There was a problem processing your payment because it has been cancelled. Please try again.","Pri spracovaní vašej platby došlo k problému, pretože bola zrušená. Skúste to prosím znova."
"Title","Názov"
"Transaction Error","Chyba transakcie"
"Transaction not found","Transakcia nenájdená"
"Use %id% for order increment id","Použite %id% pre prírastkové ID objednávky"
"Version","Verzia"
"Webhook URL","Webhook URL"
"When activated the debug file will be located in: var/log/gingerpay/debug.log","Keď sú aktivované nastavenia ladenia, súbor ladenia bude umiestnený v: var/log/nopayn"
"Your order has been received. Thank you for your purchase! We will dispatch your order as soon as possible. For any questions, please contact our customer support.","Vaša objednávka bola prijatá. Ďakujeme za váš nákup! Vašu objednávku odošleme čo najskôr. V prípade akýchkoľvek otázok sa obráťte na našu zákaznícku podporu."
"Your order has been received.","Vaša objednávka bola prijatá."
"Your order %id% at %name%","Vaša objednávka %id% u %name%"
"API Key is not valid: NoPayn Online payment methods deactivated","API kľúč nie je platný: platobné metódy NoPayn sú deaktivované"
"Refund is not completed.","Vrátenie peňazí nie je dokončené."
"Male","Muž"
"Female","Žena"
"Please select your gender","Vyberte prosím svoje pohlavie"
"Enter your date of birth","Zadajte svoj dátum narodenia"
"our shop","náš obchod"
"Some payments will be missing. To use them, set %1 in Stores -> Configuration -> General -> Currency setup", "Niektoré platby budú chýbať. Ak ich chcete použiť, nastavte %1 v Obchody -> Konfigurácia -> Všeobecné -> Nastavenie meny"
"Show Payment Logo's", "Zobraziť logá platobných metód"
"Maximum Order Total", "Maximálna celková hodnota objednávky"
"Set the order status for Authorized Payments", "Nastaviť stav objednávky pre autorizované platby"
"Status Authorized", "Stav Autorizované"
"Manual Capture", "Manuálne zachytenie"
"Enable to authorize payment first, then capture after invoice is sent", "Povoliť najprv autorizáciu platby, potom zachytenie po odoslaní faktúry"
"NoPayn helps entrepreneurs with the best, smartest and most efficient payment systems.","NoPayn pomáha podnikateľom s najlepšími, najinteligentnejšími a najefektívnejšími platobnými systémami."
